Gas_Stations_Address,Latitude,Longitude,Pincode,Pincode( frst 3 characters),Latitiude of the nearest Fast Charger,Longitude of the nearest fast charger,Distance with the nearest fast EV charger
Aachener Straße 1095 · 50858 Koeln,50.9378666,6.8562733,50858,508,50.960305,6.93333,5.946848472
Max-Planck Straße 9 · 50858 Köln-Marsdorf,50.9219503,6.8531426,50858,508,50.960305,6.93333,7.053754004
Kölner Straße 209-211 · 50226 Frechen,50.9129076,6.8265563,50226,502,50.937077,6.779441,4.257709297
Alkenrather Straße 67-69 · 51377 Leverkusen,51.0435307,7.0276429,51377,513,51.087205,7.103597,7.194059127
Borsigstraße 22 · 51381 Leverkusen,51.077701,7.0383204,51381,513,51.087205,7.103597,4.680616452
Kabeler Straße 25 · 58099 Hagen,51.4084896,7.4786066,58099,580,51.377904,7.452426,3.855663604
Friedrich-Ebert-Straße 1a · 50374 Erftstadt,50.8382015,6.7929853,50374,503,50.84549667,6.913742423,8.517734676
Gleueler Straße 19 · 50226 Frechen,50.8965078,6.8238022,50226,502,50.937077,6.779441,5.479143685
Hauptstraße 258 · 66287 Quierschied,49.3456451,7.0343347,66287,662,49.346209,6.934792,7.211387884
Herdecker Straße 20 · 58089 Hagen,51.3884733,7.4429369,58089,580,51.377904,7.452426,1.347171065
Humeskreuz 1 · 66557 Illingen,49.3856149,7.03283,66557,665,49.187444,7.370269,32.93265682
Wolfskuehler Weg 1a · 58089 Hagen,51.3828565,7.4352864,58089,580,51.377904,7.452426,1.310811366
Volkhovener Weg 117 · 50767 Köln,51.0074818,6.8976139,50767,507,50.963081,6.955304,6.378325876
Konrad-Hausmann-Straße 2 · 50767 Köln,51.0005325,6.881763,50767,507,50.963081,6.955304,6.621666094
Hochwaldstraße 29 · 66620 Nonnweiler-Otzenhausen,49.6037881,6.9873024,66620,666,49.476201,6.6059464,30.95911804
Lichtendorfer Straße 152 · 44289 Dortmund,51.4808882,7.5958117,44289,442,51.473892,7.439345,10.86395767
Schwerter Straße 1 · 59439 Holzwickede Hengsen,51.4753512,7.6271017,59439,594,51.550004,7.927231,22.36671984
Spenrather Weg 1 · 50829 Köln,50.9799118,6.8469215,50829,508,50.960305,6.93333,6.431328657
Reichshofstraße 150 · 58239 Schwerte,51.4289295,7.5656315,58239,582,51.297259,7.358371432,20.52861955
Kamen Karree 10 · 59174 Kamen,51.5680383,7.6743603,59174,591,51.569984,7.67309,0.233487879
Schattweg 8 · 59174 Kamen,51.5698743,7.6759926,59174,591,51.569984,7.67309,0.200981412
Lebacher Straße 65 · 66571 Eppelborn,49.419392,7.0050004,66571,665,49.187444,7.370269,36.96733645
Untere Lindenstraße 1 · 58089 Hagen,51.3828791,7.4350096,58089,580,51.377904,7.452426,1.329312392
Kölner Straße 111 · 50859 Köln,,,50859,508,50.960305,6.93333,5704.217922
Duerener Straße 415 · 50858 Koeln,50.9214426,6.862157,50858,508,50.960305,6.93333,6.598647905
Weststraße 10 · 58089 Hagen,51.3791152,7.4374171,58089,580,51.377904,7.452426,1.050360448
Schwerter Straße 161 · 58099 Hagen-Boele,51.3958597,7.4696625,58099,580,51.377904,7.452426,2.32743298
Trierer Straße 148 · 54411 Hermeskeil,49.6627383,6.9233934,54411,544,49.7375,7.0828,14.16126902
Autohof Nord-Lippe Straße 44 · 59368 Werne-Stockum,51.6986514,7.6731418,59368,593,51.764162,7.397249,20.34881223
Wandhofener Straße 9 · 58099 Hagen,51.4066438,7.4795043,58099,580,51.377904,7.452426,3.707089716
Vogelsanger Straße 37 · 58300 Wetter,51.3548473,7.3747327,58300,583,51.387813,7.386103,3.749629137
Ruhrtalstraße 5 · 58099 Hagen,51.3981699,7.4694954,58099,580,51.377904,7.452426,2.545787279
Hoerder Straße 30 · 58239 Schwerte,51.4504993,7.5625219,58239,582,51.297259,7.358371432,22.16184247
Hohestraße 66 · 51399 Burscheid,51.0836349,7.1249124,51399,513,51.087205,7.103597,1.54086019
Willinghusener Weg 1 · 22113 Oststeinbek,53.5466188,10.1554386,22113,221,53.542346,10.092252,4.201803965
Höhenkamp 3 · 22145 Braak,53.6097988,10.244846,22145,221,53.542346,10.092252,12.56003442
Werkstraße 2 · 44267 Dortmund,51.4578808,7.5261488,44267,442,51.473892,7.439345,6.27112569
Werner Straße 9 · 59368 Werne,51.6718903,7.6874756,59368,593,51.764162,7.397249,22.47230253
Harkortstraße 4 · 48163 Münster,51.9241832,7.5616778,48163,481,51.964164,7.63198,6.556258688
Schwalbenweg 2 · 53947 Nettersheim,50.4980468,6.6751892,53947,539,50.557359,6.765488,9.178187042
Neuenkirchener StraÃe 8 · 49451 Holdorf,52.5838399,8.1161899,49451,494,52.7044842,8.493313,28.76392645
Feiningerstraße 1 · 22115 Hamburg,53.52988,10.1426546,22115,221,53.542346,10.092252,3.607769778
Möllner Landstraße 4 · 22113 Oststeinbek,53.5422138,10.1699453,22113,221,53.542346,10.092252,5.133628818
Burger Straße 44 · 42929 Wermelskirchen,51.1362833,7.2017138,42929,429,51.135328,7.208532,0.487436188
Brennerhof 6 · 22113 Hamburg,53.5026452,10.0811702,22113,221,53.542346,10.092252,4.474898887
Stader Straße 24 · 27419 Sittensen,53.2897586,9.5072532,27419,274,53.850924,8.715758,81.39359844
Von-Siemens-Straße 1 · 49393 Lohne,52.6582157,8.1685343,49393,493,52.60773,8.37227,14.85122796
Steinfurter Straße 24 · 59387 Ascheberg,51.7984267,7.6442427,59387,593,51.764162,7.397249,17.413218
Sieker Landstraße 178 · 22927 Großhansdorf,53.654579,10.2607717,22927,229,53.669078,10.231072,2.535464204
Hoehestraße 51 · 51399 Burscheid,51.077714,7.124521,51399,513,51.087205,7.103597,1.802786739
Dünweg 55 · 51399 Burscheid,51.077714,7.124521,51399,513,51.087205,7.103597,1.802786739
Benzstraße 17 · 49076 Osnabrück,52.2900634,7.9656292,49076,490,52.2727,8.04506,5.738038462
Jesinghauser Straße 110 · 42389 Wuppertal,51.2820203,7.2507608,42389,423,52.4172212,13.2864312,433.2185133
Huenger 12 · 42929 Wermelskirchen,51.1385231,7.1900187,42929,429,51.135328,7.208532,1.339651822
Andreas Meyer Straße 63 · 22113 Hamburg,53.5122335,10.0888627,22113,221,53.542346,10.092252,3.355843383
Wiedaustraße 101 · 48163 Münster,51.8939868,7.5837039,48163,481,51.964164,7.63198,8.4763947
Lenneper Straße 72 · 42289 Wuppertal,51.2627977,7.2330586,42289,422,51.27233,7.20692,2.104890441
Steinbuecheler Straße 48 · 51377 Leverkusen,51.0509926,7.0634081,51377,513,51.087205,7.103597,4.909105227
Roxeler Straße 556 · 48161 Münster,51.952998,7.534574,48161,481,51.964164,7.63198,6.788931342
Aachener Straße 1100 · 50858 Köln,50.9378666,6.8562733,50858,508,50.960305,6.93333,5.946848472
Zum Hansa-Center 2 · 49451 Holdorf,52.59739,8.1178318,49451,494,52.7044842,8.493313,27.98901958
Sülzbührener Straße 7 · 49685 Emstek,52.8272215,8.2014962,49685,496,52.79542487,7.859451771,23.25936622
An Der Autobahn 6 · 27404 Bockel,53.1921053,9.2882429,27404,274,53.850924,8.715758,82.45493181
Trierer Straße 97 · 54411 Hermeskeil,49.6573826,6.9332856,54411,544,49.7375,7.0828,13.96437844
Hörder Straße 89 · 58239 Schwerte,51.4289295,7.5656315,58239,582,51.297259,7.358371432,20.52861955
Herdecker Straße 14 · 58089 Hagen,51.3884733,7.4429369,58089,580,51.377904,7.452426,1.347171065
Hansastraße 145 · 59427 Unna,51.5384285,7.6481486,59427,594,51.550004,7.927231,19.34232869
Henleinstraße 1 · 28816 Stuhr,53.0063839,8.7178351,28816,288,53.036745,8.724367,3.404151789
Auf Der Brooke 2 · 27404 Zeven-Elsdorf,53.2304084,9.3427542,27404,274,53.850924,8.715758,80.48055295
Bremer Straße 117a · 28816 Stuhr,53.030618,8.8051635,28816,288,53.036745,8.724367,5.445371461
Henry-Everling-Str 5 · 59174 Kamen,51.5848683,7.6686445,59174,591,51.569984,7.67309,1.683326715
Longericher Straße 543 · 50739 Köln,50.9815235,6.9210978,50739,507,50.963081,6.955304,3.153069652
Viktoriastraße 5 · 42929 Wermelskirchen,51.1349885,7.2000673,42929,429,51.135328,7.208532,0.591814389
Saarbrücker Straße 175 · 66557 Illingen-Uchtelfange,49.3764317,7.0192252,66557,665,49.187444,7.370269,33.0150739
Harmer Straße 45 · 49456 Bakum,52.719091,8.169251,49456,494,52.7044842,8.493313,21.89063808
Rudolf-Diesel-Straße 2 · 54516 Wittlich,49.9812067,6.9055574,54516,545,49.975413,6.887132,1.466613625
Gewerbestraße 1 · 21279 Hollenstedt,53.3611967,9.7062984,21279,212,53.4102571,9.9896615,19.56825193
Delmenhorster Straße 208 · 28816 Stuhr,52.9948792,8.735959,28816,288,53.036745,8.724367,4.719405956
Tostedter Straße 1 · 21279 Hollenstedt,53.3618538,9.7110038,21279,212,53.4102571,9.9896615,19.24806593
Gluesinger Straße 44 · 21217 Seevetal,53.4129196,10.0177957,21217,212,53.4102571,9.9896615,1.888066034
Bremer Straße 112 · 28816 Stuhr,53.0288707,8.807611,28816,288,53.036745,8.724367,5.634795872
Schmedehausener Straße 43 · 48268 Greven,52.097686,7.6694985,48268,482,51.863606,7.370407,33.12221484
Bremer Straße 65 · 21224 Rosengarten,53.4550124,9.9768716,21224,212,53.4102571,9.9896615,5.048174129
HamburgerStraße 9 · 27419 Sittensen,53.2843977,9.5106211,27419,274,53.850924,8.715758,81.99576447
Industriestraße 2 · 27419 Sittensen,53.2808449,9.5067453,27419,274,53.850924,8.715758,82.13805833
Harpstedter Straße 16 · 28816 Stuhr/Groß-Mackenstedt,52.9832402,8.6973415,28816,288,53.036745,8.724367,6.218143385
Grevener Straße 5 · 49549 Ladbergen,52.1250864,7.7227064,49549,495,52.414292,7.99364,37.06779415
An Der Autobahn 4 · 28876 Oyten,53.0533899,9.0318209,28876,288,53.036745,8.724367,20.6361074
Bremer Straße 105 · 28816 Stuhr,53.0063839,8.7178351,28816,288,53.036745,8.724367,3.404151789
Amandus-Stubbe-Straße 6 · 22113 Hamburg,53.5017573,10.0916398,22113,221,53.542346,10.092252,4.513438967
Linde 19 · 42287 Wuppertal,51.2340988,7.2364624,42287,422,51.27233,7.20692,4.722191119
Sieker Landstraße 235 · 22927 Großhansdorf,53.654579,10.2607717,22927,229,53.669078,10.231072,2.535464204
Stader Straße 30 · 27419 Sittensen,53.2897586,9.5072532,27419,274,53.850924,8.715758,81.39359844
Andreas-Meyer-Straße 44 · 22113 Hamburg,53.5148729,10.082417,22113,221,53.542346,10.092252,3.123268347
Hansestraße 3 · 27419 Sittensen,53.292803,9.5038133,27419,274,53.850924,8.715758,80.98705571
Barmer Straße 70 · 42899 Remscheid,51.2195168,7.2413072,42899,428,51.157855,7.22812,6.917799782
Hauptstraße 54 · 28876 Oyten,53.0791242,9.0474256,28876,288,53.036745,8.724367,22.09794209
Mahndorfer Heerstraße 86 · 28307 Bremen,53.0377162,8.9452492,28307,283,53.04075505,8.93142879,0.983851151
Uphuser Heerstraße 60a · 28832 Achim,53.0230093,9.0726476,28832,288,53.036745,8.724367,23.34038396
Bergstraße 6 · 27404 Gyhum,53.2195214,9.3099546,27404,274,53.850924,8.715758,80.44350204
Bankendorfer Weg 1 · 23758 Gremersdorf,54.3323076,10.9329236,23758,237,53.50354836,8.474058509,185.5148864
Otto-Brenner-Straße 6 · 21109 Hamburg,53.485388,10.0151656,21109,211,53.50427,9.98539,2.878839051
Grosse Straße 2 · 49134 Wallenhorst,52.3472801,8.0184876,49134,491,52.226416,8.012492,13.44566075
Professor-Porsche-Straße · 49076 Osnabrueck,52.2900634,7.9656292,49076,490,52.2727,8.04506,5.738038462
Hauptstraße 37 · 23611 Bad Schwartau,53.9310381,10.6872637,23611,236,53.781707,10.642045,16.86761089
Theeltalstraße 50 · 66636 Tholey-Hasborn,49.487811,6.9859257,66636,666,49.476201,6.6059464,27.48072928
Delmenhorster Straße 12 · 27793 Wildeshausen,52.9032475,8.443629,27793,277,53.049157,8.626074,20.30897276
Bergstraße 41 · 23774 Heiligenhafen,54.3685542,10.972688,23774,237,53.50354836,8.474058509,189.727416
Europaallee 5A · 28309 Bremen,53.0348946,8.8874222,28309,283,53.04075505,8.93142879,3.013585971
Bei der Lohmühle 54 · 23554 Lübeck,,,23554,235,53.865102,10.686306,6069.833438
Tremskamp 32 · 23611 Bad Schwartau,53.9048355,10.6906646,23611,236,53.781707,10.642045,14.05790451
Teutopark 2b · 49525 Lengerich,52.202276,7.8141519,49525,495,52.414292,7.99364,26.54599187
Hörster Heide 2 · 49434 Neuenkirchen,52.49153,8.0788661,49434,494,52.7044842,8.493313,36.66400892
Krempelsdorfer Allee 38 · 23556 Luebeck,53.8817083,10.6582716,23556,235,53.865102,10.686306,2.60526932
Oberstiftstr 41A · 54338 Schweich,49.8267902,6.7541062,54338,543,49.8510952,6.8945281,10.42654683
Krempelsdorfer Allee 78-80 · 23556 Luebeck,53.8854332,10.6538289,23556,235,53.865102,10.686306,3.105414397
Sebenter Weg 25 a · 23758 Oldenburg,54.2809352,10.8842968,23758,237,53.50354836,8.474058509,180.0318986
Stubbendorfer Ring 31 · 23858 Reinfeld,53.8240587,10.5077721,23858,238,53.748511,10.565309,9.211719305
Sundweg 99 · 23774 Heiligenhafen,54.365737,11.0023904,23774,237,53.50354836,8.474058509,191.2531724
An Der Autobahn 1 · 23858 Reinfeld,53.8229788,10.5044215,23858,238,53.748511,10.565309,9.195954191
Herrenholz 14 · 23556 Lübeck,53.8580894,10.6266886,23556,235,53.865102,10.686306,3.986467715
Burgtorstraße 77 · 23758 Oldenburg in Holstein,54.2971888,10.8854066,23758,237,53.50354836,8.474058509,180.9429697
Bei der Lohmühle 19 · 23554 Lübeck,,,23554,235,53.865102,10.686306,6069.833438
"BAB A1, Altenfelder Weg 17 · 21109 Hamburg",53.4848586,10.0254984,21109,211,53.50427,9.98539,3.420258017
An der Autobahn 1 · 27404 Gyhum,53.193586,9.288028,27404,274,53.850924,8.715758,82.30185424
Altenberger Straße 34 · 48161 Münster,51.9998162,7.558589,48161,481,51.964164,7.63198,6.401503213
Espenhof 1 · 49549 Ladbergen,52.1463092,7.7349838,49549,495,52.414292,7.99364,34.60577535
Hamburger Chaussee 1 · 23858 Reinfeld,53.8256482,10.4982367,23858,238,53.748511,10.565309,9.642802619
Moordeicher Landstraße 84-86 · 28816 Stuhr,53.0213404,8.7159778,28816,288,53.036745,8.724367,1.802446286
Harburger Straße 13 · 21218 Seevetal,53.3865488,9.9757923,21218,212,53.4102571,9.9896615,2.792006201
Bremer Straße 53 · 28816 Stuhr,53.0177933,8.7890789,28816,288,53.036745,8.724367,4.813510779
Dibberser Straße 30 · 21244 Buchholz,53.353659,9.8765567,21244,212,53.4102571,9.9896615,9.791973422
Jesteburger Straße 12 · 21218 Seevetal,53.3782392,9.9817265,21218,212,53.4102571,9.9896615,3.598895132
Kurfürstenstraße 69 · 54516 Wittlich,49.986944,6.889722,54516,545,49.975413,6.887132,1.295493701
Schlepelsberg 2 · 21629 Neu Wulmstorf,53.3703984,9.8018755,21629,216,53.473153,9.7887425,11.45888258
Eutiner Straße 4a · 23611 Bad Schwartau,53.9217942,10.6974416,23611,236,53.781707,10.642045,15.995156
An der Autobahn Nr. 2 · 23858 Reinfeld,53.823748,10.5042113,23858,238,53.748511,10.565309,9.278993851
Hannoversche Straße 142 · 28309 Bremen,53.0517097,8.8864753,28309,283,53.04075505,8.93142879,3.242508228
Europaallee · 28309 Bremen,53.034185,8.8924224,28309,283,53.04075505,8.93142879,2.708384084
Berliner Eck · 23758 Oldenburg,54.2861013,10.8790174,23758,237,53.50354836,8.474058509,179.9969389
Krempelsdorfer Allee 63 · 23556 Lübeck,53.8841754,10.6539782,23556,235,53.865102,10.686306,2.998223014
Dieselstraße 1 · 23738 Lensahn,54.2162514,10.8825019,23738,237,53.50354836,8.474058509,176.6963143
A1 Neustaedter Bucht Ost · 23730 Sierksdorf,54.0682357,10.7563243,23730,237,53.50354836,8.474058509,162.5397063
Neustädter-Bucht West 1 · 23730 Sierksdorf,54.069532,10.7703557,23730,237,53.50354836,8.474058509,163.4434674
BAB A48 Eifel Ost · 54533 Niederoefflingen,50.0694799,6.8814051,54533,545,49.975413,6.887132,10.46776076
"BAB A1, Jakobsberg 9 · 21109 Hamburg",53.4837428,10.0270414,21109,211,53.50427,9.98539,3.577903135
Bab A1 · 22965 Todendorf,53.6999152,10.3261838,22965,229,53.669078,10.231072,7.140580801
A 1 · 27367 Sottrum,53.1047328,9.1947598,27367,273,52.829578,8.989916,33.53049416
A 1 · 54421 Reinsfeld,49.6808684,6.9093609,54421,544,49.7375,7.0828,13.97097633
Lichtendorfer Straße 136 · 58239 Schwerte,51.4624289,7.5868312,58239,582,51.297259,7.358371432,24.26346213
A 1 · 49545 Tecklenburg,52.2117643,7.8515048,49545,495,52.414292,7.99364,24.50529752
A 1 · 27801 Dötlingen,52.9146289,8.4307875,27801,278,52.93814,8.37856,4.369363677
A 1 · 50354 Hürth,,,50354,503,50.84549667,6.913742423,5691.392942
Bab A 1 · 27367 Sottrum,53.1047328,9.1947598,27367,273,52.829578,8.989916,33.53049416
A 1/Westseit · 22965 Todendorf-W,53.6999152,10.3261838,22965,229,53.669078,10.231072,7.140580801
Bab A1 / Wildeshausen Nord · 27801 Doetlingen,52.9150754,8.4250003,27801,278,52.93814,8.37856,4.033402224
Bab A1 / Lichtendorf Nord · 44289 Dortmund,51.4698193,7.598078,44289,442,51.473892,7.439345,11.00367741
Bab A1 / Hochwald Ost · 54421 Reinsfeld / Hunsrueck,52.2512026,7.9133792,54421,544,49.7375,7.0828,285.4860352
A1 Dammer Berge Ost · 49451 Holdorf,52.5388966,8.1144338,49451,494,52.7044842,8.493313,31.5140305
A1 Eifel West · 54533 Niederoefflingen,50.0692395,6.8793888,54533,545,49.975413,6.887132,10.44768614
A1 Ostetal Nord · 27419 Sittensen,53.3004725,9.5341683,27419,274,53.850924,8.715758,81.64461376
"Bab A1, Zur Autobahn 2-4a · 27419 Sittensen",53.2985269,9.5323529,27419,274,53.850924,8.715758,81.72862571
Am Rohrbusch 32 · 48161 Muenster,51.9460453,7.5480076,48161,481,51.964164,7.63198,6.096881146
A1 / Bremen - Münster · 49451 Holdorf,52.5737394,8.110312,49451,494,52.7044842,8.493313,29.65215871
BAT-Remscheid/Ostseite · 42859 Remscheid,51.1588305,7.2280205,42859,428,51.157855,7.22812,0.108692376
BAT-Münsterland/Ostseite · 48161 Münster,51.9601912,7.5468477,48161,481,51.964164,7.63198,5.84965057
"Bab A1 Ostseite, Dunkbachstraße 13 · 49545 Tecklenburg",52.2274581,7.8838021,49545,495,52.414292,7.99364,22.07556268
A1 Ville West · 50354 Huerth,50.8580126,6.8044219,50354,503,50.84549667,6.913742423,7.799533094
A1 Remscheid West · 42859 Remscheid,51.1587037,7.2278244,42859,428,51.157855,7.22812,0.096596467
Moselweinstraße 2 · 54346 Mehring,49.7970698,6.8236402,54346,543,49.8510952,6.8945281,7.870679244
Justus-Liebig-Straße 9 · 36100 Fulda Petersberg,50.5526035,9.7288292,36100,361,50.553971,9.712667,1.151921091
Hauptstraße 11 · 34253 Lohfelden,51.266966,9.5554487,34253,342,51.255951,9.411806,10.06973549
Breitunger Straße 2 · 36100 Petersberg,50.5551916,9.7248754,36100,361,50.553971,9.712667,0.873099451
Kasseler Straße 113 · 34266 Niestetal,51.3084737,9.5691946,34266,342,51.255951,9.411806,12.40702505
Im Baumgarten 13 · 97795 Schondra,50.2898387,9.8622205,97795,977,50.249126,10.19481,24.06780316
Leipziger Straße 327 · 34123 Kassel,51.2956231,9.5453809,34123,341,51.31136457,9.48538,4.523548327
In den Gruenden 6 · 36093 Kuenzell,50.5275153,9.7340525,36093,360,50.55190167,9.678708422,4.759187097
Am Langen Acker 17 · 36124 Eichenzell,50.4857334,9.7163385,36124,361,50.553971,9.712667,7.592113535
Behringer Straße 63 · 29646 Bispingen,53.0995337,9.978244,29646,296,52.73444346,7.756792903,154.3686034
Michelsrombacher Straße 6 · 36039 Fulda,50.5891426,9.6930099,36039,360,50.55190167,9.678708422,4.262397031
Forsthausstraße 22 · 36088 Huenfeld,50.6562745,9.7514392,36088,360,50.55190167,9.678708422,12.69009874
Glockenhofsweg 11 · 34277 Fuldabrück - Dörnhagen,51.2304564,9.4988676,34277,342,51.255951,9.411806,6.690606064
Kissinger Straße 35 · 97769 Bad Brueckenau,50.3169496,9.8026637,97769,977,50.249126,10.19481,28.86575456
Autohof Rhoenhof 5 · 36124 Eichenzell,50.4883869,9.7080562,36124,361,50.553971,9.712667,7.299900731
An der Autobahn 18-20 · 29690 Buchholz,52.671076,9.6873295,29690,296,52.73444346,7.756792903,130.2635778
Alexander-Von-Humboldt-straße 1 · 34253 Lohfelden,51.266966,9.5554487,34253,342,51.255951,9.411806,10.06973549
Am Fieseler Werk 7 · 34253 Lohfelden,51.286671,9.5296536,34253,342,51.255951,9.411806,8.88150244
Von-Sauer Straße 27 · 22761 Hamburg,53.565737,9.911083,22761,227,53.57483,9.88926,1.760345324
Volksparkstraße 44-46 · 22525 Hamburg,53.581417,9.913065,22525,225,53.60785,9.90304,3.01275337
Wilhelm-Maybach-Straße 2 · 73479 Ellwangen,48.9576111,10.1786947,73479,734,48.834432,10.094287,15.02261192
Schilfwiese 1 · 34593 Knüllwald,51.0052353,9.4795913,34593,345,51.12474,9.281101,19.20846498
Pascalstraße 11 · 25451 Quickborn,53.743195,9.9380695,25451,254,53.658391,9.798222,13.17830772
Im Biegen · 36286 Neuenstein,50.9130702,9.576497,36286,362,50.74781,9.85923,27.0551839
Dr.-Reimer-Straße 2 · 34323 Malsfeld,51.0877215,9.4855934,34323,343,51.250148,9.250488,24.39052961
Grifter Straße 2 · 34302 Guxhagen,51.204602,9.4710478,34302,343,51.250148,9.250488,16.17187082
Hauptstraße 32 · 34593 Knüllwald,,,34593,345,51.12474,9.281101,5751.767575
Mündener Straße 11 · 34346 Hedemünden,52.3414706,8.5399326,34346,343,51.250148,9.250488,130.8169171
Leitschaecker 2 · 89257 Illertissen,48.2237887,10.1112171,89257,892,48.3881107,10.0358574,19.10298379
Altenwerder Hauptdeich 22 · 21129 Hamburg,53.5129923,9.9141088,21129,211,53.50427,9.98539,4.812415001
Bindersche Straße 2 · 31188 Holle,52.0901474,10.1728956,31188,311,52.153514,9.952343,16.62457523
In der Waage 1 · 73463 Westhausen,48.8845347,10.1751193,73463,734,48.834432,10.094287,8.124396677
Holsteiner Chaussee 182-184 · 22457 Hamburg,53.6248378,9.9097346,22457,224,53.646434,10.030759,8.332605513
Luruper Chaussee 18-22 · 22761 Hamburg,53.5728941,9.8951988,22761,227,53.57483,9.88926,0.447316598
Kieler Straße 361-365 · 22525 Hamburg,53.58874,9.93061,22525,225,53.60785,9.90304,2.797346063
Jossastraße 46 · 36272 Niederaula,50.8003754,9.6051211,36272,362,50.74781,9.85923,18.79997492
Industriestraße 8 · 36275 Kirchheim,50.8371188,9.57536,36275,362,50.74781,9.85923,22.28780428
Oberbrühlstraße 3 · 87700 Memmingen,47.9773581,10.1763495,87700,877,48.395531,10.921211,72.189293
Rudolf-Diesel-Straße 2 · 24558 Henstedt-Ulzburg,53.8038863,9.9392566,24558,245,54.179078,10.017154,42.02904405
Behringstraße 112 · 22763 Hamburg,53.5566366,9.9153055,22763,227,53.57483,9.88926,2.655375847
Holsteiner Chaussee 55 · 22523 Hamburg,53.6147148,9.9059876,22523,225,53.60785,9.90304,0.787707636
Kieler Straße 560 · 22525 Hamburg,53.5998599,9.9178843,22525,225,53.60785,9.90304,1.322350534
Autohof A7 / As Lutterberg · 34355 Staufenberg,51.346236,9.6022261,34355,343,51.250148,9.250488,26.68726777
Memminger Hau 1 · 89564 Nattheim,48.6993997,10.2419258,89564,895,48.233968,9.644065,67.98062021
Schnackenburgallee 12 · 22525 Hamburg,53.5735685,9.9193521,22525,225,53.60785,9.90304,3.961042149
Bernadottestraße 131 · 22605 Hamburg,53.5508168,9.886819,22605,226,53.55419,9.87406,0.922542716
Max-Eyth-Straße 1 · 73479 Ellwangen,48.9568588,10.1828822,73479,734,48.834432,10.094287,15.07535739
Luebberstedter Straße 36 · 21272 Egestorf,53.1930438,10.0859799,21272,212,53.4102571,9.9896615,24.98665396
Theodorstraße 1 · 22761 Hamburg,53.5678526,9.9118726,22761,227,53.57483,9.88926,1.682652086
Bavenstedter Straße 100 · 31135 Hildesheim,52.1654969,9.9746591,31135,311,52.153514,9.952343,2.023045574
Neue Bahnhofstraße 5 · 37589 Kalefeld,51.791297,10.0382976,37589,375,51.729028,10.252765,16.30392113
